Flight	Flight Time	Entry	Data
1	2473101651	0	On board logging enabled.
1	2510792869	1	On board logging enabled.
1	2517229064	2	On board logging enabled.
2	0	0	On board logging enabled.
3	0	0	On board logging enabled.
3	418279816	1	On board logging enabled.
3	418299020	2	On board logging enabled.
3	418302445	3	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.225117 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 84.0561 ] degreesGroundspeed: [ 0.165776 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	0	0	
24577	0	16327	
45057	0	11635	
61441	0	2046	
36865	0	41771	
24577	0	36494	
16385	0	27230	
57345	0	60033	
49153	0	36379	
3	0	3	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.225117 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 84.0561 ] degreesGroundspeed: [ 0.165776 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	15440	
4097	0	768	
49153	0	54953	
20481	0	27542	
36865	0	21299	
12289	0	36386	
4097	0	31587	
4097	255	14715	
20481	0	30774	
3	0	4	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.203223 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 12.2743 ] degreesGroundspeed: [ 0.247211 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
49153	0	64591	
53249	0	38170	
28673	0	33590	
28673	4294967189	25822	
36865	0	2283	
49153	0	926	
20481	0	9248	
28673	0	59689	
8193	0	64871	
3	0	5	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.203223 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 12.2743 ] degreesGroundspeed: [ 0.247211 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
24577	0	65233	
32769	0	45224	
40961	0	34290	
57345	0	56596	
40961	0	38096	
32769	0	16039	
24577	0	16112	
28673	0	64960	
45057	0	60667	
3	0	6	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.203223 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 12.2743 ] degreesGroundspeed: [ 0.247211 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
53249	0	61110	
40961	0	60465	
28673	0	60538	
28673	4294967189	37192	
45057	0	37265	
12289	0	28718	
53249	0	8337	
4097	0	8411	
45057	0	8720	
3	0	7	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.203223 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 12.2743 ] degreesGroundspeed: [ 0.247211 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	8793	
20481	0	28915	
16385	0	38254	
32769	0	38327	
4097	0	22277	
20481	0	22350	
32769	0	2281	
32769	255	21212	
57345	0	19997	
3	0	8	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.203223 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 12.2743 ] degreesGroundspeed: [ 0.247211 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
8193	0	20071	
61441	0	45287	
61441	2	45360	
8193	0	45647	
24577	0	45720	
53249	0	60926	
4097	0	61000	
20481	0	61073	
32769	0	59789	
3	0	9	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.431903 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -13.422 ] degreesGroundspeed: [ 0.202074 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
49153	0	59862	
4097	0	19439	
12289	0	53915	
28673	0	53988	
57345	0	21617	
8193	0	21691	
24577	0	21764	
40961	0	20494	
57345	0	20567	
3	0	10	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.431903 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -13.422 ] degreesGroundspeed: [ 0.202074 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
8193	0	20641	
32769	0	24291	
53249	0	23020	
4097	0	23094	
12289	0	26369	
28673	0	26442	
45057	0	26515	
1	0	23171	
61441	0	23243	
3	0	11	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.431903 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -13.422 ] degreesGroundspeed: [ 0.202074 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
20481	0	23317	
1	0	23515	
16385	0	23588	
32769	0	20700	
57345	0	20773	
16385	0	20847	
32769	0	20920	
49153	0	20993	
1	0	21067	
3	0	12	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.431903 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -13.422 ] degreesGroundspeed: [ 0.202074 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
16385	0	21834	
49153	0	22031	
1	0	22105	
16385	0	22178	
36865	0	24311	
61441	0	24384	
20481	0	24458	
36865	0	24531	
53249	0	24604	
3	0	13	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.431903 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -13.422 ] degreesGroundspeed: [ 0.202074 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
4097	0	24678	
57345	0	19610	
16385	0	19684	
32769	0	19757	
49153	0	19830	
1	0	19904	
28673	0	37297	
53249	0	37370	
12289	0	37444	
3	0	14	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.353531 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 47.1234 ] degreesGroundspeed: [ 0.345318 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
36865	0	37517	
20481	0	37719	
36865	0	37792	
4097	0	38842	
24577	0	38915	
45057	0	38988	
1	0	39062	
20481	0	39135	
40961	0	39208	
3	0	15	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.353531 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 47.1234 ] degreesGroundspeed: [ 0.345318 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	39281	
45057	0	39478	
1	0	39552	
20481	0	39625	
40961	0	39698	
61441	0	39771	
16385	0	39845	
36865	0	39918	
57345	0	39991	
3	0	16	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.353531 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 47.1234 ] degreesGroundspeed: [ 0.345318 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
12289	0	40065	
16385	0	40261	
36865	0	40334	
57345	0	40407	
12289	0	40481	
32769	0	40554	
53249	0	40627	
8193	0	40701	
36865	0	40774	
3	0	17	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.353531 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 47.1234 ] degreesGroundspeed: [ 0.345318 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
57345	0	40847	
40961	0	41045	
61441	0	41118	
16385	0	41192	
4097	0	41265	
16385	0	41338	
36865	0	41411	
57345	0	41484	
12289	0	41558	
3	0	18	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.353531 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 47.1234 ] degreesGroundspeed: [ 0.345318 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
32769	0	41631	
40961	0	41828	
61441	0	41901	
16385	0	41975	
36865	0	42048	
57345	0	42121	
12289	0	42195	
32769	0	42268	
61441	0	42341	
