Flight	Flight Time	Entry	Data
1	4079026731	0	On board logging enabled.
1	4116019373	1	On board logging enabled.
1	4116069016	2	On board logging enabled.
1	4116040881	2	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.00924731 ] m  East: [ 0.222337 ] m  Down: [ 1.90578 ] m 
1	4116072899	3	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.0080196 ] m  East: [ 0.223421 ] m  Down: [ 1.90246 ] m 
1	2571096190	0	
32769	0	37904	
36865	0	39412	
57345	0	37816	
24577	0	27484	
49153	0	27557	
8193	0	27631	
32769	0	27704	
57345	0	27777	
16385	0	27851	
1	0	4	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.0150409 ] m  East: [ 0.191216 ] m  Down: [ 1.87321 ] m 
40961	0	27924	
1	0	28083	
40961	0	28156	
1	0	28230	
24577	0	28303	
49153	0	28376	
8193	0	28450	
32769	0	28523	
57345	0	28596	
16385	0	28670	
1	0	5	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.000917451 ] m  East: [ 0.154192 ] m  Down: [ 1.84472 ] m 
40961	0	28743	
24577	0	28907	
1	0	28981	
24577	0	29054	
49153	0	29127	
12289	0	29203	
36865	0	29275	
61441	0	29348	
20481	0	29422	
45057	0	29495	
1	0	6	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0209087 ] m  East: [ 0.114788 ] m  Down: [ 1.7837 ] m 
4097	0	29569	
32769	0	29727	
8193	0	29801	
32769	0	29874	
57345	0	29947	
16385	0	30021	
40961	0	30094	
57345	0	30167	
8193	0	30241	
24577	0	30314	
1	0	7	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0560251 ] m  East: [ 0.127881 ] m  Down: [ 1.74681 ] m 
24577	0	7840	
1	0	7999	
32769	0	8072	
53249	0	8145	
8193	0	8219	
28673	0	8292	
8193	0	8365	
28673	0	8438	
49153	0	8511	
4097	0	8585	
1	0	8	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0613296 ] m  East: [ 0.162615 ] m  Down: [ 1.73822 ] m 
24577	0	8658	
8193	0	8788	
49153	0	8861	
28673	0	8934	
8193	0	29201	
16385	0	9083	
45057	0	9156	
8193	0	9230	
36865	0	9303	
1	0	9377	
1	3544095881	9	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0731952 ] m  East: [ 0.136944 ] m  Down: [ 1.72117 ] m 
28673	0	9450	
4097	0	9609	
45057	0	9682	
8193	0	9756	
36865	0	9829	
1	0	9903	
45057	0	9975	
8193	0	10049	
36865	0	10122	
1	0	10196	
1	3492718751	10	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0905505 ] m  East: [ 0.180487 ] m  Down: [ 1.68642 ] m 
28673	0	10269	
12289	0	10431	
45057	0	10503	
1	0	10577	
20481	0	10650	
40961	0	10723	
4097	0	10797	
32769	0	10870	
61441	0	10943	
24577	0	11017	
1	0	11	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.11125 ] m  East: [ 0.195231 ] m  Down: [ 1.66465 ] m 
53249	0	11090	
61441	0	11248	
28673	0	11322	
57345	0	11395	
20481	0	11469	
24577	0	11542	
53249	0	11615	
16385	0	11689	
45057	0	11762	
8193	0	11836	
1	0	12	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.119622 ] m  East: [ 0.195565 ] m  Down: [ 1.64136 ] m 
36865	0	11909	
61441	0	12067	
28673	0	12141	
49153	0	12214	
4097	0	12288	
24577	0	12361	
45057	0	12434	
8193	0	12508	
36865	0	12581	
1	0	12655	
1	3332177211	13	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.120569 ] m  East: [ 0.231661 ] m  Down: [ 1.59399 ] m 
28673	0	12728	
12289	0	12887	
45057	0	12960	
1	0	13034	
36865	0	13106	
1	0	13180	
28673	0	13253	
57345	0	13326	
20481	0	13400	
49153	0	13473	
1	0	14	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.113578 ] m  East: [ 0.252309 ] m  Down: [ 1.57566 ] m 
12289	0	13547	
40961	0	13707	
57345	0	9007	
24577	0	13858	
53249	0	13931	
16385	0	14005	
45057	0	14078	
8193	0	14152	
36865	0	14225	
1	0	14299	
1	3224920495	15	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.102968 ] m  East: [ 0.314435 ] m  Down: [ 1.56303 ] m 
28673	0	14372	
20481	0	14531	
53249	0	14604	
28673	0	14677	
49153	0	14750	
12289	0	14824	
40961	0	14897	
4097	0	14971	
32769	0	15044	
61441	0	15117	
1	0	16	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.106919 ] m  East: [ 0.298724 ] m  Down: [ 1.55434 ] m 
24577	0	15191	
40961	0	15350	
16385	0	15424	
45057	0	15497	
8193	0	15571	
36865	0	15644	
1	0	15718	
45057	0	15790	
8193	0	15864	
36865	0	15937	
