Flight	Flight Time	Entry	Data
1	3998140761	0	On board logging enabled.
1	4029119232	1	On board logging enabled.
1	4036164541	2	On board logging enabled.
2	4074664820	0	On board logging enabled.
2	4139972950	1	On board logging enabled.
2	4140059214	2	On board logging enabled.
2	4140046825	2	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ 0.108268 ] m/s  GPSVelEast: [ 0.67877 ] m/s  GPSVelDown: [ -0.0561367 ] m/s  dT: [ 0.0053023 ] s  gx: [ -0.195268 ] deg/s  gy: [ -0.0591684 ] deg/s  gz: [ 2.38125 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999933 ]   q2: [ -0.00559211 ]   q3: [ 0.00602443 ]   q4: [ -0.00820704 ]   gyro_biasx: [ 0.000155032 ] deg/s  gyro_biasy: [ -2.27094e-05 ] deg/s  gyro_biasz: [ 0.000298352 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0129105 ] m  East: [ -0.0623577 ] m  Down: [ 0.177674 ] m  NorthVel: [ 0.81816 ] m/s  EastVel: [ -0.151457 ] m/s  DownVel: [ -0.192395 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.25119 ] m 
2	4140079997	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ 0.108268 ] m/s  GPSVelEast: [ 0.67877 ] m/s  GPSVelDown: [ -0.0561367 ] m/s  dT: [ 0.00529915 ] s  gx: [ -0.401438 ] deg/s  gy: [ -1.47186 ] deg/s  gz: [ 0.878245 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999934 ]   q2: [ -0.00550644 ]   q3: [ 0.00580022 ]   q4: [ -0.00823069 ]   gyro_biasx: [ 0.000163219 ] deg/s  gyro_biasy: [ -2.23641e-05 ] deg/s  gyro_biasz: [ 0.000293921 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ 0.0174377 ] m  East: [ -0.068067 ] m  Down: [ 0.173375 ] m  NorthVel: [ 0.817928 ] m/s  EastVel: [ -0.153399 ] m/s  DownVel: [ -0.194252 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.276054 ] m 
2	4140079997	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ 0.108268 ] m/s  GPSVelEast: [ 0.67877 ] m/s  GPSVelDown: [ -0.0561367 ] m/s  dT: [ 0.00529915 ] s  gx: [ -0.401438 ] deg/s  gy: [ -1.47186 ] deg/s  gz: [ 0.878245 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999934 ]   q2: [ -0.00550644 ]   q3: [ 0.00580022 ]   q4: [ -0.00823069 ]   gyro_biasx: [ 0.000163219 ] deg/s  gyro_biasy: [ -2.23641e-05 ] deg/s  gyro_biasz: [ 0.000293921 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ 0.0174377 ] m  East: [ -0.068067 ] m  Down: [ 0.173375 ] m  NorthVel: [ 0.817928 ] m/s  EastVel: [ -0.153399 ] m/s  DownVel: [ -0.194252 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.276054 ] m 
2	4140079997	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ 0.108268 ] m/s  GPSVelEast: [ 0.67877 ] m/s  GPSVelDown: [ -0.0561367 ] m/s  dT: [ 0.00529915 ] s  gx: [ -0.401438 ] deg/s  gy: [ -1.47186 ] deg/s  gz: [ 0.878245 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999934 ]   q2: [ -0.00550644 ]   q3: [ 0.00580022 ]   q4: [ -0.00823069 ]   gyro_biasx: [ 0.000163219 ] deg/s  gyro_biasy: [ -2.23641e-05 ] deg/s  gyro_biasz: [ 0.000293921 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ 0.0174377 ] m  East: [ -0.068067 ] m  Down: [ 0.173375 ] m  NorthVel: [ 0.817928 ] m/s  EastVel: [ -0.153399 ] m/s  DownVel: [ -0.194252 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.276054 ] m 
2	4140079997	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ 0.108268 ] m/s  GPSVelEast: [ 0.67877 ] m/s  GPSVelDown: [ -0.0561367 ] m/s  dT: [ 0.00529915 ] s  gx: [ -0.401438 ] deg/s  gy: [ -1.47186 ] deg/s  gz: [ 0.878245 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999934 ]   q2: [ -0.00550644 ]   q3: [ 0.00580022 ]   q4: [ -0.00823069 ]   gyro_biasx: [ 0.000163219 ] deg/s  gyro_biasy: [ -2.23641e-05 ] deg/s  gyro_biasz: [ 0.000293921 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ 0.0174377 ] m  East: [ -0.068067 ] m  Down: [ 0.173375 ] m  NorthVel: [ 0.817928 ] m/s  EastVel: [ -0.153399 ] m/s  DownVel: [ -0.194252 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.276054 ] m 
2	4140184195	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.288675 ] m  GPSEast: [ -0.0471887 ] m  GPSDown: [ -0.476382 ] m  GPSVelNorth: [ 0.062439 ] m/s  GPSVelEast: [ -0.275881 ] m/s  GPSVelDown: [ -0.273186 ] m/s  dT: [ 0.0052698 ] s  gx: [ 0.629934 ] deg/s  gy: [ -0.224329 ] deg/s  gz: [ -0.917665 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999943 ]   q2: [ -0.00513351 ]   q3: [ 0.00549693 ]   q4: [ -0.00761465 ]   gyro_biasx: [ 0.000147481 ] deg/s  gyro_biasy: [ -2.19452e-05 ] deg/s  gyro_biasz: [ 0.000219483 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0391166 ] m  East: [ -0.0875035 ] m  Down: [ 0.15568 ] m  NorthVel: [ 0.487669 ] m/s  EastVel: [ -0.149342 ] m/s  DownVel: [ -0.201642 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.33456 ] m 
2	4140184195	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.288675 ] m  GPSEast: [ -0.0471887 ] m  GPSDown: [ -0.476382 ] m  GPSVelNorth: [ 0.062439 ] m/s  GPSVelEast: [ -0.275881 ] m/s  GPSVelDown: [ -0.273186 ] m/s  dT: [ 0.0052698 ] s  gx: [ 0.629934 ] deg/s  gy: [ -0.224329 ] deg/s  gz: [ -0.917665 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999943 ]   q2: [ -0.00513351 ]   q3: [ 0.00549693 ]   q4: [ -0.00761465 ]   gyro_biasx: [ 0.000147481 ] deg/s  gyro_biasy: [ -2.19452e-05 ] deg/s  gyro_biasz: [ 0.000219483 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0391166 ] m  East: [ -0.0875035 ] m  Down: [ 0.15568 ] m  NorthVel: [ 0.487669 ] m/s  EastVel: [ -0.149342 ] m/s  DownVel: [ -0.201642 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.33456 ] m 
2	4140184195	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.288675 ] m  GPSEast: [ -0.0471887 ] m  GPSDown: [ -0.476382 ] m  GPSVelNorth: [ 0.062439 ] m/s  GPSVelEast: [ -0.275881 ] m/s  GPSVelDown: [ -0.273186 ] m/s  dT: [ 0.0052698 ] s  gx: [ 0.629934 ] deg/s  gy: [ -0.224329 ] deg/s  gz: [ -0.917665 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999943 ]   q2: [ -0.00513351 ]   q3: [ 0.00549693 ]   q4: [ -0.00761465 ]   gyro_biasx: [ 0.000147481 ] deg/s  gyro_biasy: [ -2.19452e-05 ] deg/s  gyro_biasz: [ 0.000219483 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0391166 ] m  East: [ -0.0875035 ] m  Down: [ 0.15568 ] m  NorthVel: [ 0.487669 ] m/s  EastVel: [ -0.149342 ] m/s  DownVel: [ -0.201642 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.33456 ] m 
2	4140184195	4	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.288675 ] m  GPSEast: [ -0.0471887 ] m  GPSDown: [ -0.476382 ] m  GPSVelNorth: [ 0.062439 ] m/s  GPSVelEast: [ -0.275881 ] m/s  GPSVelDown: [ -0.273186 ] m/s  dT: [ 0.0052698 ] s  gx: [ 0.629934 ] deg/s  gy: [ -0.224329 ] deg/s  gz: [ -0.917665 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.999943 ]   q2: [ -0.00513351 ]   q3: [ 0.00549693 ]   q4: [ -0.00761465 ]   gyro_biasx: [ 0.000147481 ] deg/s  gyro_biasy: [ -2.19452e-05 ] deg/s  gyro_biasz: [ 0.000219483 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0391166 ] m  East: [ -0.0875035 ] m  Down: [ 0.15568 ] m  NorthVel: [ 0.487669 ] m/s  EastVel: [ -0.149342 ] m/s  DownVel: [ -0.201642 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.33456 ] m 
2	4140217029	5	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ -0.384099 ] m/s  GPSVelEast: [ 0.1443 ] m/s  GPSVelDown: [ -0.223281 ] m/s  dT: [ 0.00525562 ] s  gx: [ -0.451531 ] deg/s  gy: [ 0.576307 ] deg/s  gz: [ 1.26973 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.99995 ]   q2: [ -0.00474671 ]   q3: [ 0.00569684 ]   q4: [ -0.00674735 ]   gyro_biasx: [ 0.000113513 ] deg/s  gyro_biasy: [ -2.23491e-05 ] deg/s  gyro_biasz: [ 0.00015725 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0366989 ] m  East: [ -0.0634897 ] m  Down: [ 0.153732 ] m  NorthVel: [ 0.438405 ] m/s  EastVel: [ -0.128405 ] m/s  DownVel: [ -0.203041 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.422192 ] m 
2	4140217029	5	FILTERSTATES (ID: 2E3E77BE-0, 140 BYTES, single) Data:  GPSNorth: [ -0.0675171 ] m  GPSEast: [ 0.213371 ] m  GPSDown: [ -0.111419 ] m  GPSVelNorth: [ -0.384099 ] m/s  GPSVelEast: [ 0.1443 ] m/s  GPSVelDown: [ -0.223281 ] m/s  dT: [ 0.00525562 ] s  gx: [ -0.451531 ] deg/s  gy: [ 0.576307 ] deg/s  gz: [ 1.26973 ] deg/s  ax: [ 0.111227 ] m/s^2  ay: [ 0.0608056 ] m/s^2  az: [ -9.88121 ] m/s^2  mx: [ 26000 ] mGa  my: [ 400 ] mGa  mz: [ 40000 ] mGa  q1: [ 0.99995 ]   q2: [ -0.00474671 ]   q3: [ 0.00569684 ]   q4: [ -0.00674735 ]   gyro_biasx: [ 0.000113513 ] deg/s  gyro_biasy: [ -2.23491e-05 ] deg/s  gyro_biasz: [ 0.00015725 ] deg/s  Roll: [ 0 ] degrees  Pitch: [ 0 ] degrees  Yaw: [ 0 ] degrees  North: [ -0.0366989 ] m  East: [ -0.0634897 ] m  Down: [ 0.153732 ] m  NorthVel: [ 0.438405 ] m/s  EastVel: [ -0.128405 ] m/s  DownVel: [ -0.203041 ] m/s  CalibratedAirspeed: [ 0 ] m/s  TrueAirspeed: [ 0 ] m/s  Altitude: [ -0.422192 ] m 
